common_name,breeding_verified,breeding_indirect,transient,winter_verified,winter_present,aab_url,order_desc,order,family,genus,species,similar_species
Loggerhead Shrike,true,false,false,true,false,http://www.allaboutbirds.org/guide/loggerhead_shrike/id,Perching Birds,PASSERIFORMES,LANIIDAE,Lanius,ludovicianus,"Northern Shrike, Northern Mockingbird"
Northern Shrike,false,false,true,true,false,http://www.allaboutbirds.org/guide/northern_shrike/id,Perching Birds,PASSERIFORMES,LANIIDAE,Lanius,excubitor,"Loggerhead Shrike, Northern Mockingbird"
White-eyed Vireo,false,true,false,false,false,http://www.allaboutbirds.org/guide/whiteeyed_vireo/id,Perching Birds,PASSERIFORMES,VIREONIDAE,Vireo,griseus,""
Yellow-throated Vireo,false,true,false,false,false,http://www.allaboutbirds.org/guide/yellowthroated_vireo/id,Perching Birds,PASSERIFORMES,VIREONIDAE,Vireo,flavifrons,""
Plumbeous Vireo,true,false,false,false,false,http://www.allaboutbirds.org/guide/plumbeous_vireo/id,Perching Birds,PASSERIFORMES,VIREONIDAE,Vireo,plumbeus,""
Cassin’s Vireo,true,false,false,false,false,http://www.allaboutbirds.org/guide/cassins_vireo/id,Perching Birds,PASSERIFORMES,VIREONIDAE,Vireo,cassinii,""
Blue-headed Vireo,false,false,true,false,false,http://www.allaboutbirds.org/guide/blueheaded_vireo/id,Perching Birds,PASSERIFORMES,VIREONIDAE,Vireo,solitarius,"Bell's Vireo, Cassin's Vireo, Plumbeous Vireo"
Warbling Vireo,true,false,false,false,false,http://www.allaboutbirds.org/guide/warbling_vireo/id,Perching Birds,PASSERIFORMES,VIREONIDAE,Vireo,gilvus,"Red-eyed Vireo, Philadelphia Vireo, Bell's Vireo"
Philadelphia Vireo,false,false,true,false,false,http://www.allaboutbirds.org/guide/philadelphia_vireo/id,Perching Birds,PASSERIFORMES,VIREONIDAE,Vireo,philadelphicus,""
Red-eyed Vireo,true,false,false,false,false,http://www.allaboutbirds.org/guide/redeyed_vireo/id,Perching Birds,PASSERIFORMES,VIREONIDAE,Vireo,olivaceus,"Warbling Vireo, Tennessee Warbler, Philadelphia Vireo"
Gray Jay,true,false,false,true,false,http://www.allaboutbirds.org/guide/gray_jay/id,Perching Birds,PASSERIFORMES,CORVIDAE,Perisoreus,canadensis,""
Pinyon Jay,true,false,false,true,false,http://www.allaboutbirds.org/guide/pinyon_jay/id,Perching Birds,PASSERIFORMES,CORVIDAE,Gymnorhinus,cyanocephalus,""
Steller’s Jay,true,false,false,true,false,http://www.allaboutbirds.org/guide/stellers_jay/id,Perching Birds,PASSERIFORMES,CORVIDAE,Cyanocitta,stelleri,"Blue Jay, Western Scrub-Jay, Pinyon Jay"
Blue Jay,true,false,false,true,false,http://www.allaboutbirds.org/guide/blue_jay/id,Perching Birds,PASSERIFORMES,CORVIDAE,Cyanocitta,cristata,"Western Scrub-Jay, Steller's Jay, Eastern Bluebird, Pinyon Jay"
Western Scrub-Jay,false,false,true,true,false,http://www.allaboutbirds.org/guide/western_scrubjay/id,Perching Birds,PASSERIFORMES,CORVIDAE,Aphelocoma,californica,"Blue Jay, Western Bluebird, Steller's Jay, Florida Scrub-Jay, Pinyon Jay, Mexican Jay"
Clark’s Nutcracker,true,false,false,true,false,http://www.allaboutbirds.org/guide/clarks_nutcracker/id,Perching Birds,PASSERIFORMES,CORVIDAE,Nucifraga,columbiana,Gray Jay
