common_name,winter_verified,winter_unverified,breeding_verified,breeding_indirect,transient,slug,aab_url,elcode,field_guide_url,order_desc,order,family_desc,family,genus,species,similar_species,num_observations,accidental,major_group
Horned Grebe,X,"",X,"","",horned_grebe,http://www.allaboutbirds.org/guide/horned_grebe/id,ABNCA03010,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNCA03010,Grebes,Podicipediformes,Grebes,Podicipedidae,Podiceps,Auritus,Eared Grebe,635,"",Water birds
Red-necked Grebe,X,"",X,"","",red-necked_grebe,http://www.allaboutbirds.org/guide/red-necked_grebe/id,ABNCA03020,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNCA03020,Grebes,Podicipediformes,Grebes,Podicipedidae,Podiceps,Grisegena,"",1246,"",Water birds
Eared Grebe,X,"",X,"","",eared_grebe,http://www.allaboutbirds.org/guide/eared_grebe/id,ABNCA03030,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNCA03030,Grebes,Podicipediformes,Grebes,Podicipedidae,Podiceps,Nigricollis,Horned Grebe,1651,"",Water birds
Pied-billed Grebe,X,"",X,"","",pied-billed_grebe,http://www.allaboutbirds.org/guide/pied-billed_grebe/id,ABNCA02010,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNCA02010,Grebes,Podicipediformes,Grebes,Podicipedidae,Podilymbus,Podiceps,"",1113,"",Water birds
Wood Stork,"","","","",X,wood_stork,http://www.allaboutbirds.org/guide/wood_stork/id,ABNGF02010,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNGF02010,Storks,Ciconiiformes,Storks,Ciconiidae,Mycteria,Americana,"",2,X,Water birds
Double-crested Cormorant,"",X,X,"","",double-crested_cormorant,http://www.allaboutbirds.org/guide/double-crested_cormorant/id,ABNFD01020,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNFD01020,"Frigatebirds, Boobies, Cormorants, Darters, and Allies",Suliformes,Cormorants,Phalacrocoracidae,Phalacrocorax,Auritus,"",2220,"",Water birds
Great Egret,"","","","",X,great_egret,http://www.allaboutbirds.org/guide/great_egret/id,ABNGA04040,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNGA04040,"Pelicans, Herons, Ibises, and Allies",Pelecaniformes,Bitterns / Egrets / Herons / Night-Herons,Ardeidae,Ardea,Alba,"Great Blue Heron, Snowy Egret, Cattle Egret, Little Blue Heron",96,"",Water birds
Great Blue Heron,X,"",X,"","",great_blue_heron,http://www.allaboutbirds.org/guide/great_blue_heron/id,ABNGA04010,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNGA04010,"Pelicans, Herons, Ibises, and Allies",Pelecaniformes,Bitterns / Egrets / Herons / Night-Herons,Ardeidae,Ardea,Herodias,"Sandhill Crane, Great Egret, Little Blue Heron",4545,"",Water birds
American Bittern,"",X,X,"","",american_bittern,http://www.allaboutbirds.org/guide/american_bittern/id,ABNGA01020,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNGA01020,"Pelicans, Herons, Ibises, and Allies",Pelecaniformes,Bitterns / Egrets / Herons / Night-Herons,Ardeidae,Botaurus,Lentiginosus,"",301,"",Water birds
Cattle Egret,"","","","",X,cattle_egret,http://www.allaboutbirds.org/guide/cattle_egret/id,ABNGA07010,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNGA07010,"Pelicans, Herons, Ibises, and Allies",Pelecaniformes,Bitterns / Egrets / Herons / Night-Herons,Ardeidae,Bubulcus,Ibis,Great Egret,48,"",Water birds
Green Heron,"","","","",X,green_heron,http://www.allaboutbirds.org/guide/green_heron/id,ABNGA08010,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNGA08010,"Pelicans, Herons, Ibises, and Allies",Pelecaniformes,Bitterns / Egrets / Herons / Night-Herons,Ardeidae,Butorides,Virescens,"Least Bittern, Yellow-crowned Night-Heron, Black-crowned Night-Heron, Little Blue Heron, American Bittern",18,X,Water birds
Little Blue Heron,"","","","",X,little_blue_heron,http://www.allaboutbirds.org/guide/little_blue_heron/id,ABNGA06040,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNGA06040,"Pelicans, Herons, Ibises, and Allies",Pelecaniformes,Bitterns / Egrets / Herons / Night-Herons,Ardeidae,Egretta,Caerulea,"Snowy Egret, Great Egret, Great Blue Heron, Cattle Egret",10,X,Water birds
Snowy Egret,"","",X,"","",snowy_egret,http://www.allaboutbirds.org/guide/snowy_egret/id,ABNGA06030,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNGA06030,"Pelicans, Herons, Ibises, and Allies",Pelecaniformes,Bitterns / Egrets / Herons / Night-Herons,Ardeidae,Egretta,Thula,"",80,"",Water birds
Least Bittern,"","","","",X,least_bittern,http://www.allaboutbirds.org/guide/least_bittern/id,ABNGA02010,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNGA02010,"Pelicans, Herons, Ibises, and Allies",Pelecaniformes,Bitterns / Egrets / Herons / Night-Herons,Ardeidae,Ixobrychus,Exilis,"",4,X,Water birds
Yellow-crowned Night-Heron,"","","","",X,yellow-crowned_night-heron,http://www.allaboutbirds.org/guide/yellow-crowned_night-heron/id,ABNGA13010,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNGA13010,"Pelicans, Herons, Ibises, and Allies",Pelecaniformes,Bitterns / Egrets / Herons / Night-Herons,Ardeidae,Nyctanassa,Violacea,"Black-crowned Night-Heron, American Bittern",3,X,Water birds
Black-crowned Night-Heron,"","",X,"","",black-crowned_night-heron,http://www.allaboutbirds.org/guide/black-crowned_night-heron/id,ABNGA11010,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNGA11010,"Pelicans, Herons, Ibises, and Allies",Pelecaniformes,Bitterns / Egrets / Herons / Night-Herons,Ardeidae,Nycticorax,Nycticorax,"Yellow-crowned Night-Heron, American Bittern, Green Heron",498,"",Water birds
White-faced Ibis,"","",X,"","",white-faced_ibis,http://www.allaboutbirds.org/guide/white-faced_ibis/id,ABNGE02020,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNGE02020,"Pelicans, Herons, Ibises, and Allies",Pelecaniformes,Ibises,Threskiornithidae,Plegadis,Chihi,"",436,"",Water birds
Glossy Ibis,"","","","",X,glossy_ibis,http://www.allaboutbirds.org/guide/glossy_ibis/id,ABNGE02010,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNGE02010,"Pelicans, Herons, Ibises, and Allies",Pelecaniformes,Ibises,Threskiornithidae,Plegadis,Falcinellus,"",9,X,Water birds
American White Pelican,"",X,X,"","",american_white_pelican,http://www.allaboutbirds.org/guide/american_white_pelican/id,ABNFC01010,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNFC01010,"Pelicans, Herons, Ibises, and Allies",Pelecaniformes,Pelicans,Pelecanidae,Pelecanus,Erythrorhynchos,"",2494,"",Water birds
Black-necked Stilt,"","",X,"","",black-necked_stilt,http://www.allaboutbirds.org/guide/black-necked_stilt/id,ABNND01010,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNND01010,"Plovers, Sandpipers, and Allies",Charadriiformes,Avocets,Recurvirostridae,Himantopus,Mexicanus,American Avocet,476,"",Water birds
American Avocet,"","",X,"","",american_avocet,http://www.allaboutbirds.org/guide/american_avocet/id,ABNND02010,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNND02010,"Plovers, Sandpipers, and Allies",Charadriiformes,Avocets,Recurvirostridae,Recurvirostra,Americana,"Black-necked Stilt, Hudsonian Godwit",1811,"",Water birds
Whooping Crane,"","","","",X,whooping_crane,http://www.allaboutbirds.org/guide/whooping_crane/id,ABNMK01030,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNMK01030,Cranes and Rails,Gruiformes,Cranes,Gruidae,Grus,Americana,"Sandhill Crane, Great Egret, American White Pelican, Snow Goose",83,"",Water birds
